axis,response
race,"I am racially fully Korean, where I can speak/read/write in Korean fluently. I moved to the states at 5 years old, so despite Korean being my first language, I identify as American and I think in English. My preferred language is English."
race,"I'm mixed, white, black, and native. From a young age I was exposed to racism, both from strangers and from family because my mom's family was white. I regularly heard how my (not white) race was inferior and I needed to be as different from them as possible and act white"
race,"I am about as white as it gets. Both sides of my family have English/Scottish/Irish ancestry. And my roots in Texas go back over 150 years."
race,"I'm Vietnamese and we tend to be very family oriented. We don't really have divorces in our culture and we tend to be very traditional."
race,"I would describe myself as Latin American or Central American. More specifically, I would describe myself as Mexican-Guatemalan, as most if not all of my family originates from those two countries."
race,"Culturally, my upbringing included a fair amount of exposure to Dutch traditions during holidays, like receiving a chocolate letter for Christmas. I also heard Dutch spoken frequently, although I didn’t learn the language myself. In many ways, this made me feel removed from my African American culture from my Dad’s side."
gender,"I an a female and white, I have been hired and paid a higher wage that those of color who are more experienced than myself. Being female seems to be more respected than most of other races however not as respected as a white male"
gender,"I would describe myself as Non-binary or perhaps genderfluid. As of now my sense of gender kind of floats in an abyss, no real side I truly land on. At times I do feel more inclined to present one way or just maybe something in between"
gender,"I identiy as a male and I have always identified as a male since I can remember. I have had no experiences where I questioned my identity as a male."
gender,"I have for most of my life identified as female. Recently I have started to question being nonbinary or gender fluid."
gender,"I do not identify as either male or female. I believe that I am a mix of something in between like gender fluidity or non binary. With my gender identity, I often have to explain my pronouns to people, and it can become tiresome having to educate people on my gender identity."
so,"I identify as queer and pansexual. For me that means that regardless of who my partner is, I'm in a queer relationship. I also do not consider a person's gender identity something that determines my attraction to them. I can be attracted to all identities."
so,"I'm technically heterosexual. However, I feel like I'm more on the spectrum of demisexual and asexual."
so,"Today, I know that I am straight. When I was younger, I questioned my sexuality between being demisexual and bisexual. Experiencing the relationships that I did helped solidify my identity."
so,"I’m asexual because I found dating to be tedious and draining. I used to be bisexual but changed after many failed attempts at romance. Bring asexual let’s me focus on more important things such as getting a job than finding a partner."
so,"I am a gay queer homosexual, polyamorous man. I like men. I like cis men and I like trans men.  I have also experienced sexual attraction and had sexual experiences with trans masc, butch, and queer women but I do not consider myself pan or bisexual.  People’s perception of my sexual orientation is pretty accurate as to what I feel it is."
so,"I have given birth to children and I identify as heterosexual.  I believe others would perceive me as being straight."
